name,frets,fingers
A,"-1,0,2,2,2,0","0,0,2,3,4,0"
A6,"-1,0,2,2,2,2","0,0,2,3,4,5"
A7,"-1,0,2,0,2,0","0,0,2,0,3,0"
A9,"-1,0,2,0,2,0","0,0,2,0,3,0"
A13,"-1,0,2,0,2,2","0,0,2,0,3,4"
Asus2,"-1,0,2,2,0,0","0,0,2,3,0,0"
Asus4,"-1,0,2,2,3,0","0,0,2,3,4,0"
Amaj7,"-1,0,2,1,2,0","0,0,2,1,3,0"
Am,"-1,0,2,2,1,0","0,0,2,3,1,0"
Am7,"-1,0,2,0,1,0","0,0,2,0,1,0"

Bb,"-1,1,3,3,3,1","0,1,3,4,4,1"
Bb7,"-1,1,3,1,3,1","0,1,3,1,4,1"
Bbmaj7,"-1,1,3,2,3,1","0,1,3,2,4,1"
Bbm,"-1,1,3,3,2,1","0,1,3,4,2,1"
Bbm7,"-1,1,1,1,1,1","0,1,1,1,1,1"
Bbaug,"-1,1,0,0,0,-1","0,1,0,0,0,0"

B,"-1,2,4,4,4,2","0,1,3,4,4,1"
B7,"-1,2,1,2,0,2","0,2,1,3,0,4"
Bmaj7,"-1,2,4,3,4,2","0,1,3,2,4,1"
Bm,"-1,2,4,4,3,2","0,1,3,4,2,1"
Bm6,"-1,2,0,1,0,2","0,1,0,2,0,3"
Bm7,"-1,2,0,2,0,2","0,1,0,2,0,3"
Bm9,"-1,2,0,2,0,2","0,1,0,2,0,3"
Bsus2,"-1,2,4,4,2,2","0,1,3,4,1,1"
Bsus4,"-1,2,4,4,5,2","0,1,3,4,5,1"

C,"0,3,2,0,1,0","0,3,2,0,1,0"
C7,"0,3,2,3,1,0","0,3,2,4,1,0"
C7sus4,"0,3,3,3,1,0","0,2,3,4,1,0"
C9,"3,2,3,3,3,3","1,2,3,4,4,4"
C13,"3,2,3,2,3,3","1,2,3,1,4,4"
Cmaj7,"0,3,2,0,0,0","0,3,2,0,0,0"
Cm,"-1,3,5,5,4,3","0,1,3,4,2,1"
Cm7,"-1,3,1,3,1,3","0,2,1,3,1,4"
Cdim,"-1,3,4,2,4,-1","0,1,3,2,4,0"
Caug,"-1,3,2,1,1,0","0,4,3,2,1,0"

C#m,"-1,4,6,6,5,4","0,1,3,4,2,1"
C#7,"-1,4,6,4,6,4","0,1,3,1,4,1"
C#m7,"-1,4,2,4,2,4","0,2,1,3,1,4"

Db,"-1,4,6,6,6,4","0,1,3,4,4,1"
Db7,"-1,4,6,4,6,4","0,1,3,1,4,1"
Dbmaj7,"-1,4,6,5,6,4","0,1,3,2,4,1"
Dbm,"-1,4,6,6,5,4","0,1,3,4,2,1"
Dbm7,"-1,4,2,4,2,4","0,2,1,3,1,4"

D,"0,0,0,2,3,2","0,0,0,1,3,2"
D6,"-1,0,0,2,0,2","0,0,0,1,0,2"
D7,"0,0,0,2,1,2","0,0,0,2,1,3"
D9sus4,"-1,0,0,2,3,0","0,0,0,1,2,0"
Dmaj7,"0,0,0,2,2,2","0,0,0,1,2,3"
Dm,"-1,0,0,2,3,1","0,0,0,2,3,1"
Dm7,"-1,0,0,1,1,1","0,0,0,1,1,1"
Dm9,"-1,0,0,2,1,0","0,0,0,2,1,0"
Dadd9,"0,0,0,2,0,0","0,0,0,1,0,0"

Eb,"-1,6,8,8,8,6","0,1,3,4,4,1"
Eb7,"-1,6,8,6,8,6","0,1,3,1,4,1"
Ebmaj7,"-1,6,8,7,8,6","0,1,3,2,4,1"
Ebm,"-1,6,8,8,7,6","0,1,3,4,2,1"
Ebm7,"-1,6,4,6,4,6","0,2,1,3,1,4"

E,"0,2,2,1,0,0","0,2,3,1,0,0"
E7,"0,2,0,1,0,0","0,2,0,1,0,0"
Emaj7,"0,2,1,1,0,0","0,2,1,1,0,0"
Em,"0,2,2,0,0,0","0,2,3,0,0,0"
Em7,"0,2,0,0,0,0","0,1,0,0,0,0"
Em9,"0,2,0,0,0,2","0,1,0,0,0,3"
Eadd9,"0,2,4,1,0,0","0,2,4,1,0,0"
Edim,"0,1,2,0,2,0","0,1,2,0,3,0"

F,"1,3,3,2,1,1","1,3,4,2,1,1"
F7,"1,3,1,2,1,1","1,3,1,2,1,1"
F9,"1,3,1,2,1,3","1,3,1,2,1,4"
Fmaj7,"1,3,2,2,1,1","1,3,2,2,1,1"
Fm,"1,3,3,1,1,1","1,3,4,1,1,1"
Fm7,"1,3,1,1,1,1","1,3,1,1,1,1"
Fdim,"1,2,3,1,3,1","1,2,3,1,4,1"
Fsus2,"1,3,3,0,1,1","1,3,4,0,1,1"
Fsus4,"1,3,3,3,1,1","1,3,4,4,1,1"

F#,"2,4,4,3,2,2","1,3,4,2,1,1"
F#m,"-1,2,4,4,2,2","0,1,3,4,1,1"
F#m7,"-1,2,0,2,0,2","0,1,0,2,0,3"

Gb,"-1,2,4,4,4,2","0,1,3,4,4,1"
Gb7,"-1,2,4,2,4,2","0,1,3,1,4,1"
Gbmaj7,"-1,2,4,3,4,2","0,1,3,2,4,1"
Gbm,"-1,2,4,4,3,2","0,1,3,4,2,1"
Gbm7,"-1,2,0,2,0,2","0,1,0,2,0,3"

G,"3,2,0,0,0,3","2,1,0,0,0,3"
G7,"3,2,0,0,0,1","3,2,0,0,0,1"
G6,"3,2,0,0,0,0","2,1,0,0,0,0"
G9,"3,2,0,0,0,0","2,1,0,0,0,0"
Gmaj7,"3,2,0,0,0,2","3,2,0,0,0,1"
Gm,"3,5,5,3,3,3","1,3,4,1,1,1"
Gm7,"3,5,3,3,3,3","1,3,1,1,1,1"
Gadd9,"3,0,0,0,0,3","1,0,0,0,0,2"
Gsus4,"3,3,0,0,1,3","2,3,0,0,1,4"
